record_timestamp,devtmpfs,sda1,cs_root,tmpfs_root,usr,nice,sys,iowait,irq,soft,steal,guest,gnice,idle,mem_total,mem_used,mem_free,mem_shared,mem_buffcached,mem_available,swap_total,swap_used,swap_free
2024-02-29 15:33:58.872+02,0,285760,4912160,4912100,4.13,0.02,3.41,0.18,0,1.19,0,0,0,91.07,3747104,2330284,755460,2564,895456,1412140,1048572,6960,1041612
2024-02-29 15:34:58.025+02,0,285760,4912844,4912128,4.09,0.02,3.39,0.18,0,1.18,0,0,0,91.14,3747104,2318968,774444,2564,890856,1425952,1048572,6960,1041612
2024-02-29 15:37:07.168+02,0,285760,6224748,5305548,4.05,0.02,3.37,0.17,0,1.17,0,0,0,91.21,3747104,2778296,321152,2564,1013832,969340,1048572,6960,1041612
2024-02-29 15:37:37.217+02,0,285760,4912844,8058440,4.05,0.02,3.39,0.18,0,1.17,0,0,0,91.23,3747104,2305668,1082040,2612,1237544,1442700,1048572,6960,1041612
2024-02-29 15:38:37.297+02,0,285760,4912496,4912232,4.01,0.02,3.37,0.17,0,1.16,0,0,0,91.31,3747104,2321344,1068284,2644,606832,1429536,1048572,6960,1041612
2024-02-29 15:39:37.397+02,0,285760,4912872,4912804,3.97,0.02,3.35,0.17,0,1.14,0,0,0,91.38,3747104,2320980,1066068,2644,612668,1414200,1048572,6960,1041612
2024-02-29 15:40:49.492+02,0,285760,4912460,4912428,3.93,0.02,3.33,0.17,0,1.13,0,0,0,91.41,3747104,2323876,1060124,2644,607196,1425064,1048572,6960,1041612
2024-02-29 15:41:53.685+02,0,285760,8059072,8059028,3.93,0.02,3.35,0.17,0,1.14,0,0,0,91.37,3747104,2752076,270824,2644,1122024,986228,1048572,6704,1041868
2024-02-29 15:42:53.528+02,0,285760,4912744,7009828,3.94,0.02,3.37,0.17,0,1.14,0,0,0,91.39,3747104,2348128,1075280,2680,1065384,1413796,1048572,6704,1041868
2024-02-29 15:43:53.629+02,0,285760,4912596,4912564,3.91,0.02,3.36,0.17,0,1.13,0,0,0,91.44,3747104,2359104,1025632,2736,615740,1388744,1048572,6704,1041868
2024-02-29 15:44:53.701+02,0,285760,4912320,4912312,3.87,0.02,3.34,0.17,0,1.12,0,0,0,91.51,3747104,2350520,1034484,2736,612212,1399104,1048572,6704,1041868
2024-02-29 15:52:18.112+02,0,318732,4864472,4864160,15.06,0,10.77,1.91,0,3.68,0,0,0,68.65,3747016,1839116,547988,8744,1610984,1874004,1048572,0,1048572
2024-02-29 15:53:17.443+02,0,318732,4878924,4879176,16.83,0,10.7,1.73,0,3.7,0,0,0,67.08,3747016,2029232,313924,8744,1659036,1716476,1048572,0,1048572
2024-02-29 15:54:17.203+02,0,318732,4879424,4879624,14.94,0,9.74,1.48,0,3.31,0,0,0,70.56,3747016,2041400,293056,8744,1658232,1697192,1048572,0,1048572
2024-02-29 15:55:17.346+02,0,318732,4998168,4998164,14.43,0,10.13,1.44,0,3.78,0,0,0,70.25,3747016,2137508,192800,8740,1648388,1605084,1048572,12,1048560
2024-02-29 15:56:17.453+02,0,318732,5138296,5130084,14.27,0,10,2.06,0,3.75,0,0,0,69.95,3747016,2163324,170036,8744,1674288,1572380,1048572,12,1048560
2024-02-29 16:13:34.701+02,0,318732,5254448,5253376,12.11,0,6.72,0.82,0,2.38,0,0,0,77.94,3747016,2095468,224220,8728,1660748,1642744,1048572,0,1048572
2024-02-29 16:13:39.741+02,0,318732,5254344,5254340,12.16,0,6.78,0.82,0,2.4,0,0,0,77.84,3747016,2116884,222512,8728,1657828,1630536,1048572,0,1048572
